"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"7 eventos, viernes, 28 de junio",01:15,Junio de 2024,2024,Reunión oficial con el Presidente del Comité de la Asamblea Popular Nacional,"Lugar: Pekín ( 2:15 p. m. Horas, China)"
"7 eventos, viernes, 28 de junio",02:15,Junio de 2024,2024,Reunión oficial con el Primer Ministro de la República Popular China,"Lugar: Pekín ( 3:15 p. m. Horas, China)"
"7 eventos, viernes, 28 de junio",03:30,Junio de 2024,2024,Ceremonia de Bienvenida Presidencial con el Presidente de la República Popular China,"Lugar: Pekín ( 4:30 p. m. Horas, China)"
"7 eventos, viernes, 28 de junio",03:45,Junio de 2024,2024,Reunión oficial con el Presidente de la República Popular China,"Lugar: Pekín ( 4:45 p. m. Horas, China)"
"7 eventos, viernes, 28 de junio",04:30,Junio de 2024,2024,Ceremonia de Firma de Convenios,"Lugar: Pekín ( 5:30 p. m. Horas, China)"
"1 evento, sábado, 29 de junio",10:00,Junio de 2024,2024,Salida a la ciudad de Lima,"Lugar: Pekín (11:00pm, horas, China)"
"1 evento, domingo, 30 de junio",16:15,Junio de 2024,2024,Llegada a Perú desde China,N.A.
"1 evento, lunes, 1 de julio",N.A.,Junio de 2024,2024,No hubo actividades oficiales qué registrar,N.A.
"1 evento, martes, 2 de julio",N.A.,Junio de 2024,2024,No hubo oficiales oficiales qué registrar,N.A.
"3 eventos, miércoles, 3 de julio",09:00,Junio de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno
"3 eventos, miércoles, 3 de julio",12:00,Junio de 2024,2024,Suscripción de contratos de concesión de hospitales EsSalud en Piura y Chimbote,Lugar: Palacio de Gobierno.
"3 eventos, miércoles, 3 de julio",18:00,Junio de 2024,2024,Firma de acuerdo comercial entre Senam Perú SAC y Korea Aerospace Industries (KAI),Lugar: Complejo Deportivo FAP. Surco
"4 eventos, jueves, 4 de julio",10:00,Junio de 2024,2024,"Recibimiento a presidente de Ecuador, Daniel Noboa Azín",Lugar: Palacio de Gobierno
