num_eventos;dia_semana;fecha;ultima_palabra_fecha;hora;descripción;anio;mes_ano,ano;;
4 eventos; miércoles; 29 de mayo;mayo;14:00;Ceremonia de firma de contrato entre el gobierno peruano, la Municipalidad Metropolitana de Lima y Panam Sports para la organización de Lima 2027;2024;Junio de 2024;;
4 eventos; miércoles; 29 de mayo;mayo;18:00;Reunión con la congresista Karol Paredes y los alcaldes de la red de municipalidades de la región San Martin – REMURSAM;2024;Junio de 2024;;
4 eventos; miércoles; 29 de mayo;mayo;20:00;Ceremonia de promulgación de ley que declara de interés la creación de la Universidad Nacional Fronteriza Autónoma de Yunguyo;2024;Junio de 2024;;
1 evento; jueves; 30 de mayo;mayo;11:30;Reunión con el presidente del Banco Central de Reserva, Julio Velarde;2024;Junio de 2024;;
1 evento; viernes; 31 de mayo;mayo;10:00;Supervisión del primer simulacro nacional multipeligro 2024;2024;Junio de 2024;;
2 eventos; miércoles; 1 de mayo;mayo;09:50;Ceremonia de condecoración de la Orden del Trabajo 2024. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
2 eventos; miércoles; 1 de mayo;mayo;11:45;Saludo de la presidenta Dina Boluarte con motivo del Día Internacional del Trabajador. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; jueves; 2 de mayo;mayo;12:00;Homenaje por el Día de la Mujer Policía. Lugar: Ministerio del Interior, San Isidro.;2024;Mayo de 2024;;
2 eventos; viernes; 3 de mayo;mayo;12:30;Reunión con el gobernador regional de Lambayeque, congresistas de la región, y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
2 eventos; viernes; 3 de mayo;mayo;13:30;Reunión con el gobernador Regional de Piura. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; sábado; 4 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
1 evento; domingo; 5 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
2 eventos; lunes; 6 de mayo;mayo;09:00;Audiencia con la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
2 eventos; lunes; 6 de mayo;mayo;10:00;Encuentro con mujeres emprendedoras y la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
4 eventos; martes; 7 de mayo;mayo;11:00;Reunión con gobernador regional de Arequipa, participó también el ministro de Energía y Minas y funcionarios del Ejecutivo. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
4 eventos; martes; 7 de mayo;mayo;12:00;Reconocimiento a los medallistas de los Juegos Bolivarianos de la Juventud 2024. Lugar: Estadio Nacional.;2024;Mayo de 2024;;
4 eventos; martes; 7 de mayo;mayo;16:00;Llamada con el presidente electo de Panamá, José Raúl Mulino. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
4 eventos; martes; 7 de mayo;mayo;17:00;Reunión con los alcaldes de la Mancomunidad Municipal del Callao. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
3 eventos; miércoles; 8 de mayo;mayo;09:00;Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
3 eventos; miércoles; 8 de mayo;mayo;11:00;Reunión con representantes de la Cámara Peruana del Libro. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
3 eventos; miércoles; 8 de mayo;mayo;15:00;Ceremonia de presentación de cartas credenciales de embajadores residentes de Argentina y España. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; jueves; 9 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
2 eventos; viernes; 10 de mayo;mayo;08:30;Inauguración del “Seminario Internacional: Constitución Política, Democracia y Valores Institucionales”. Lugar: Auditorio “Los Incas” del Ministerio de Cultura, San Borja.;2024;Mayo de 2024;;
2 eventos; viernes; 10 de mayo;mayo;14:00;Suscripción de convenio de cooperación interinstitucional entre el Minedu y Minsa. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; sábado; 11 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
1 evento; domingo; 12 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
1 evento; lunes; 13 de mayo;mayo;12:00;Reunión con representantes de la Sociedad Nacional de Minería, Petróleo y Energía (SNMPE), además participó el ministro de Energía y Minas. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; martes; 14 de mayo;mayo;16:00;Entrega de 3000 títulos de propiedad para los programas de vivienda del ex fundo Oquendo en el Callao. Lugar: Callao.;2024;Mayo de 2024;;
2 eventos; miércoles; 15 de mayo;mayo;09:00;Sesión del Consejo de Ministros. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
2 eventos; miércoles; 15 de mayo;mayo;13:30;Celebración del Día Nacional de las micro y pequeñas empresas. Lugar: Palacio de Gobierno;2024;Mayo de 2024;;
2 eventos; jueves; 16 de mayo;mayo;09:00;Inauguración del IV Consejo de Estado Regional. Lugar: San Borja.;2024;Mayo de 2024;;
2 eventos; jueves; 16 de mayo;mayo;14:00;Juramentación de ministro del Interior. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
1 evento; viernes; 17 de mayo;mayo;11:00;REGIÓN AREQUIPA - Clausura de la reunión de ministras y ministros de los sectores mujer y comercio, integrantes de las 21 economías de APEC Asia Pacífico. Lugar: Arequipa.;2024;Mayo de 2024;;
1 evento; sábado; 18 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
2 eventos; domingo; 19 de mayo;mayo;09:00;Promulgación de la ley que garantiza y promueve el acceso y uno de los medicamentos genéricos. Lugar: Palacio de Gobierno.;2024;Mayo de 2024;;
2 eventos; domingo; 19 de mayo;mayo;10:15;Inicio de actividades por la conmemoración de los 200 años de la Batalla de Junín. Lugar: Frontis de Palacio de Gobierno.;2024;Mayo de 2024;;
3 eventos; lunes; 20 de mayo;mayo;13:15;Entrega de vehículos incautados y administrados por el PRONABI, en beneficio de los Gores, municipios y otras entidades del Estado. Lugar: Minjus, Miraflores.;2024;Mayo de 2024;;
3 eventos; lunes; 20 de mayo;mayo;19:00;Ceremonia de firma de convenio para el fortalecimiento de la industria nacional en el sector defensa. Lugar: San Borja.;2024;Mayo de 2024;;
2 eventos; martes; 21 de mayo;mayo;09:30;Inauguración del Simposio -XV Encuentro Internacional de Minería. Lugar: Miraflores.;2024;Mayo de 2024;;
2 eventos; martes; 21 de mayo;mayo;12:30;"Presentación de la campaña multisectorial ""Niños de Hierro"" para la prevención y reducción de la anemia materno infantil al 2030. Lugar: Rímac.";2024;Mayo de 2024;;
1 evento; miércoles; 22 de mayo;mayo;09:00;Consejo de Ministros. Lugar: Palacio de Gobierno;2024;Mayo de 2024;;
1 evento; jueves; 23 de mayo;mayo;11:00;Declaración de interés sectorial y lanzamiento del distintivo “Emoliente Bandera”. Lugar: San Isidro.;2024;Mayo de 2024;;
2 eventos; viernes; 24 de mayo;mayo;08:30;Inauguración de la II Reunión de Comando Policial - RECOPOL 2024;2024;Mayo de 2024;;
2 eventos; viernes; 24 de mayo;mayo;10:00;Ceremonia de Lanzamiento “Certificados de Carrera de Google”;2024;Mayo de 2024;;
1 evento; sábado; 25 de mayo;mayo;N.A.;No hubo actividades oficiales que registrar.;2024;Mayo de 2024;;
